"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US06001404101","Census Tract 4041.01; Alameda County; California","3208","349","2376","351","269","145","13","21","292","99","0","13","65","73","193","108","37","35","156","99",
"1400000US06001404102","Census Tract 4041.02; Alameda County; California","2701","352","1483","196","155","101","62","57","408","126","0","13","118","116","475","239","75","55","400","250",
"1400000US06001404200","Census Tract 4042; Alameda County; California","3894","388","2739","438","204","213","8","14","435","126","23","32","94","96","391","141","59","54","332","137",
"1400000US06001404300","Census Tract 4043; Alameda County; California","3587","368","2747","375","46","46","21","32","483","104","0","13","33","35","257","93","145","77","112","59",
"1400000US06001404400","Census Tract 4044; Alameda County; California","5823","604","3452","517","142","108","57","57","1095","411","0","19","54","85","1023","344","141","107","882","341",
"1400000US06001404501","Census Tract 4045.01; Alameda County; California","1820","205","1256","197","94","67","0","13","151","77","26","35","13","18","280","108","72","86","208","59",
"1400000US06001404502","Census Tract 4045.02; Alameda County; California","6110","776","4081","642","353","237","76","95","1034","464","0","19","135","100","431","132","123","98","308","130",
"1400000US06001404600","Census Tract 4046; Alameda County; California","4934","605","2981","338","263","227","0","13","703","137","37","64","64","56","886","360","151","172","735","297",
"1400000US06001404700","Census Tract 4047; Alameda County; California","2187","262","1555","248","100","56","0","13","252","133","0","13","62","56","218","89","81","45","137","69",
"1400000US06001404800","Census Tract 4048; Alameda County; California","2744","404","1606","374","315","224","140","135","444","224","0","13","72","51","167","89","33","33","134","81",
"1400000US06001404900","Census Tract 4049; Alameda County; California","4669","462","2816","353","283","167","30","37","649","148","34","40","218","185","639","243","254","180","385","149",
"1400000US06001405000","Census Tract 4050; Alameda County; California","3665","329","2126","322","493","175","18","30","456","108","0","13","34","28","538","196","238","153","300","115",
"1400000US06001405100","Census Tract 4051; Alameda County; California","4508","405","3015","390","255","88","0","13","547","181","10","17","115","66","566","178","177","92","389","137",
"1400000US06001405200","Census Tract 4052; Alameda County; California","4913","1030","1812","321","680","277","0","13","1939","995","0","13","156","129","326","155","121","91","205","112",
"1400000US06001405301","Census Tract 4053.01; Alameda County; California","2872","474","1460","309","410","270","0","13","447","158","5","8","236","108","314","101","116","87","198","89",
"1400000US06001405302","Census Tract 4053.02; Alameda County; California","2559","347","884","244","605","192","40","65","795","211","11","25","71","84","153","86","65","49","88","72",
"1400000US06001405401","Census Tract 4054.01; Alameda County; California","3541","471","961","237","476","138","13","15","1132","284","0","13","665","322","294","166","75","84","219","139",
"1400000US06001405402","Census Tract 4054.02; Alameda County; California","3673","638","880","367","561","212","10","17","1315","363","7","5","847","518","53","55","0","13","53","55",
"1400000US06001405500","Census Tract 4055; Alameda County; California","3537","503","838","153","690","387","70","82","1313","260","34","42","380","198","212","87","47","45","165","84",
"1400000US06001405600","Census Tract 4056; Alameda County; California","3044","524","1241","304","544","227","32","46","672","407","0","13","257","193","298","155","98","93","200","118",
"1400000US06001405700","Census Tract 4057; Alameda County; California","3522","549","609","155","985","412","36","32","934","197","0","13","684","444","274","112","52","62","222","128",
